title,creator,game,description
The Pop Off,Rogue,Apex,"Eternal.gg captures the best moments from top streamers and esports players.  Eternal is dropping IRL packs on Oct 22.  When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal.  Each shard is 1/3 of a crystal.  To assemble a crystal, combine any three shards on Eternal.gg.  The better the shards match, the purer the crystal will be.  Every time a shard is traded, 10% of revenue goes to the streamer."
Humiliation,Rogue,Apex,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Takeoff,JustJamie,GTA,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Clip It,Lucid,Halo,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
West Coast,IndieFoxx,IRL,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Let's Hit the Karaoke,EXBC,IRL,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Mini Bombing,Lifestomper,Rust,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Posty's DB,Posty,Rust,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Jumpscare,IamBrandon,Resident Evil Village,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
Will You Marry Me,Edison 1/1,IRL,"Eternal.gg captures the best moments from top streamers and esports players. Eternal is dropping IRL packs on Oct 22. When you open a pack, you may use a ""crystal"" to turn a common moment into an uncommon, rare, or mythic moment, depending on the purity of the crystal. Each shard is 1/3 of a crystal. To assemble a crystal, combine any three shards on Eternal.gg. The better the shards match, the purer the crystal will be. Every time a shard is traded, 10% of revenue goes to the streamer."
